Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
372582,413158,-2.415933,53.614242,6,3,1,1,08-10-14,4,15:00,100,E08000001,5,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01004806
482787,207284,-0.801943,51.758088,43,2,2,2,20-10-14,2,16:11,480,E10000002,3,4010,6,40,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01017886
599070,161230,0.855215,51.315285,46,3,3,2,17-10-14,6,9:47,540,E10000016,3,2,6,60,3,4,6,0,0,0,1,1,1,4,2,2,1,E01024622
446650,334170,-1.307887,52.902929,30,3,2,1,06-12-14,7,9:20,324,E10000007,5,239,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01019641
532100,162270,-0.1047,51.344114,1,3,2,1,04-09-14,5,18:29,20,E09000008,5,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01001095
539640,175910,0.008856,51.464886,1,3,2,1,25-04-14,6,11:10,7,E09000023,4,212,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01003202
577853,222004,0.581886,51.868209,42,3,2,1,30-01-14,5,15:39,451,E10000012,3,120,1,70,1,4,4,1018,0,0,1,1,2,0,0,1,1,E01021380
639750,168840,1.443052,51.367918,46,3,2,1,08-11-14,7,19:10,541,E10000016,4,2052,6,30,0,-1,-1,0,2,0,4,1,1,0,0,1,1,E01024642
462073,153313,-1.111507,51.275535,44,3,2,1,04-09-14,5,18:20,490,E10000014,3,339,3,60,1,4,3,340,0,0,1,1,1,0,0,1,1,E01022526
330940,145172,-2.989877,51.201515,52,3,2,2,23-12-14,3,14:05,607,E10000027,3,38,6,30,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01029135
530730,174500,-0.119856,51.454341,1,3,2,1,18-10-14,7,1:30,9,E09000022,3,23,6,30,3,4,6,0,0,0,4,2,2,0,0,1,2,E01003018
