Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
502280,172665,-0.529692,51.443697,45,3,2,1,17-10-14,6,17:15,40,E10000030,1,25,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,2,E01030735
454846,400810,-1.174617,53.501125,14,3,2,2,20-01-14,2,10:24,211,E08000017,2,1,7,70,1,4,3,630,0,0,1,1,1,0,0,1,1,E01007551
340370,556040,-2.931294,54.895541,3,3,2,1,30-06-14,2,7:20,62,E10000006,3,7,3,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01019206
240919,725757,-4.579088,56.397263,96,2,1,2,26-01-14,1,11:30,939,S12000030,3,85,6,60,0,-1,-1,0,0,0,1,2,2,0,0,2,1,
544630,183760,0.083858,51.534172,1,3,2,1,15-04-14,3,16:35,16,E09000002,3,123,1,30,2,4,6,0,0,0,1,1,1,0,0,1,2,E01000051
366810,428690,-2.504846,53.753508,4,2,1,1,22-06-14,1,17:30,70,E06000008,6,0,6,30,9,4,6,0,0,0,1,1,1,0,0,1,1,E01012588
533260,182230,-0.080549,51.523218,1,3,2,1,23-11-14,1,0:45,4,E09000012,5,0,6,30,3,4,6,0,0,0,4,5,2,0,0,1,2,E01033708
415370,520969,-1.763697,54.583705,11,3,1,1,18-03-14,3,9:34,169,E06000047,4,6279,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01020862
352786,423562,-2.716736,53.706335,4,2,2,2,23-09-14,3,23:25,83,E10000017,4,5253,6,60,0,-1,-1,0,0,0,4,1,2,0,0,2,1,E01025420
459419,106986,-1.157151,50.859276,44,3,3,1,29-06-14,1,13:40,492,E10000014,1,27,7,30,1,2,3,27,0,0,1,1,1,0,0,2,1,E01022721
344154,460537,-2.854234,54.037777,4,2,1,2,10-04-14,5,8:40,76,E10000017,6,0,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01033072
464603,98616,-1.084977,50.783462,44,3,1,1,03-04-14,5,8:43,498,E06000044,4,2155,6,30,3,4,4,2151,0,0,1,1,1,0,0,1,1,E01017122
525500,167620,-0.197524,51.393691,1,3,1,1,24-09-14,4,17:03,22,E09000024,3,239,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01003449
393700,294460,-2.094349,52.547923,20,3,2,1,06-10-14,2,22:25,303,E08000027,3,4123,3,40,6,2,3,463,0,0,4,1,1,0,0,1,1,E01009764
458287,91087,-1.17575,50.71643,44,2,2,1,08-12-14,2,8:50,505,E06000046,6,0,6,30,3,4,6,0,0,0,1,1,2,0,0,1,1,E01017282
502144,440970,-0.448566,53.854916,16,3,2,2,23-01-14,5,7:56,231,E06000011,3,1035,6,30,3,4,6,0,0,0,1,2,2,0,0,2,1,E01013068
417576,187171,-1.747742,51.583078,54,3,2,1,15-08-14,6,17:13,633,E06000030,5,411,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01015553
447147,151139,-1.325758,51.257416,44,3,1,1,04-03-14,3,7:07,490,E10000014,6,0,6,40,0,-1,-1,0,0,0,1,1,4,0,0,2,1,E01022563
619167,309194,1.237591,52.636174,36,3,1,1,07-05-14,4,9:25,404,E10000020,5,802,6,20,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01026796
379071,410387,-2.317659,53.589636,6,3,2,1,24-01-14,6,19:00,101,E08000002,3,58,6,30,6,4,6,0,0,0,4,6,2,0,0,1,2,E01004947
614321,246817,1.126286,52.078164,37,3,2,4,20-12-14,7,18:10,412,E10000029,3,1156,6,30,3,4,6,0,0,5,4,1,1,0,0,1,1,E01029976
520490,189990,-0.261868,51.595827,1,3,1,1,17-11-14,2,8:20,30,E09000003,3,5,6,30,0,-1,-1,0,0,8,1,2,2,0,0,1,1,E01000588
534680,166350,-0.066134,51.380175,1,3,2,1,13-09-14,7,18:00,20,E09000008,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000987
336652,390639,-2.954437,53.408737,5,3,2,1,24-01-14,6,15:13,91,E08000012,6,0,6,30,3,4,6,0,0,0,1,2,2,0,0,1,1,E01006691
439580,369320,-1.408682,53.21945,30,3,2,1,17-12-14,4,17:59,322,E10000007,4,6038,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01019548
518612,158071,-0.299661,51.309346,45,3,2,1,07-10-14,3,5:40,512,E10000030,3,24,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01030509
403490,302230,-1.949895,52.617803,20,3,2,1,05-05-14,2,0:30,307,E08000030,3,461,6,30,7,2,6,0,0,5,4,1,1,0,0,1,1,
420153,585639,-1.685195,55.164688,10,3,1,1,07-05-14,4,12:40,139,E06000048,3,197,7,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01027452
451806,253660,-1.243777,52.178732,34,3,1,1,20-01-14,2,8:10,381,E10000021,3,361,6,50,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01027004
539280,109364,-0.022078,50.866943,47,2,3,1,09-04-14,4,7:00,554,E10000011,3,27,1,50,1,4,6,0,0,0,1,1,1,0,0,2,1,E01021041
518600,229190,-0.275764,51.948526,41,2,1,1,08-12-14,2,10:15,433,E10000015,6,485,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01023616
420422,446252,-1.690596,53.912021,13,3,1,1,27-09-14,7,16:29,204,E08000035,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01011584
530890,181930,-0.114802,51.521076,1,3,2,1,30-09-14,3,17:20,2,E09000007,3,401,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000914
326761,673925,-3.174465,55.952793,95,3,1,1,14-05-14,4,16:15,923,S12000036,5,0,1,30,2,4,6,0,0,8,1,1,1,0,0,1,2,
343455,384179,-2.850952,53.35145,5,2,2,2,14-08-14,5,23:20,91,E08000012,6,0,6,30,3,4,6,0,0,0,4,1,2,0,0,1,1,E01006739
410680,281510,-1.844355,52.431436,20,2,3,1,07-07-14,2,16:00,300,E08000025,3,34,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01009031
545030,165480,0.082133,51.369809,1,3,1,1,28-07-14,2,18:36,19,E09000006,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01000758
447601,343916,-1.292321,52.99045,31,2,2,4,20-02-14,5,7:49,342,E10000024,3,6096,6,50,0,-1,-1,0,0,0,1,1,2,0,0,2,1,E01033413
412215,130537,-1.827042,51.073973,54,2,1,1,02-05-14,6,18:30,635,E06000054,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01032001
494314,258690,-0.620857,52.218321,40,3,2,4,02-07-14,4,8:20,420,E06000055,5,15,6,60,8,4,-1,-1,0,0,1,1,1,0,0,2,2,E01017504
335143,371686,-2.97325,53.238212,7,1,2,4,27-03-14,5,21:30,130,E06000050,3,494,3,70,0,-1,-1,0,0,0,6,1,2,0,0,2,1,E01018367
510730,173420,-0.407917,51.448896,1,3,2,1,06-01-14,2,4:45,25,E09000018,3,244,6,30,3,4,6,0,0,1,7,1,1,0,0,1,1,E01002593
532310,169110,-0.099141,51.405536,1,3,2,1,07-06-14,7,19:00,20,E09000008,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01001148
505613,222826,-0.466601,51.893943,40,3,2,1,10-06-14,3,16:45,421,E06000032,6,0,6,20,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01015712
447865,311073,-1.293198,52.695204,33,3,2,1,14-06-14,7,11:00,361,E10000018,1,1,7,70,1,4,3,50,0,0,1,1,1,0,0,2,1,E01025871
555980,168110,0.240473,51.39054,46,3,2,2,27-07-14,1,17:00,538,E10000016,6,1372,6,30,0,-1,-1,0,0,0,1,1,2,0,0,2,1,E01024432
353603,422661,-2.704225,53.698311,4,3,2,1,11-12-14,5,17:03,83,E10000017,6,0,1,30,1,4,6,0,0,0,4,1,2,0,0,1,1,E01025423
379436,200483,-2.298992,51.702663,53,3,1,2,30-10-14,5,20:30,624,E10000013,5,262,6,60,6,4,4,4066,0,0,6,1,1,0,0,2,1,E01022370
461346,407237,-1.075379,53.55817,14,3,2,3,10-12-14,4,11:50,211,E08000017,5,25,6,40,0,-1,-1,0,0,0,1,4,1,0,0,1,1,E01007624
389117,345380,-2.163643,53.005603,21,3,2,1,19-05-14,2,11:30,257,E06000021,3,50,6,30,0,-1,-1,0,0,8,1,1,1,0,0,1,1,E01033216
546010,309370,0.157535,52.662361,35,3,2,2,10-08-14,1,15:00,392,E10000003,5,28,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,2,E01033112
509303,432565,-0.342757,53.777947,16,3,2,1,31-01-14,6,17:00,228,E06000010,6,0,6,30,6,4,6,0,0,0,4,2,2,0,0,1,1,E01012817
509387,171097,-0.427953,51.428276,45,3,2,1,15-09-14,2,7:26,40,E10000030,5,233,6,30,3,2,3,244,0,4,1,1,1,0,0,1,1,E01030699
449859,346262,-1.258324,53.011332,31,3,1,1,26-03-14,4,6:53,342,E10000024,4,600,6,60,0,-1,-1,0,0,0,1,1,2,0,0,2,1,E01028123
334722,665513,-3.044963,55.878373,95,3,1,1,28-03-14,6,8:30,929,S12000019,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,
525519,323484,-0.139877,52.794303,32,3,1,1,22-05-14,5,15:00,354,E10000019,4,1173,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01026271
301008,377715,-3.486434,53.287116,60,3,4,4,28-04-14,2,18:00,723,W06000004,3,547,6,60,3,4,6,0,0,0,1,1,1,0,0,2,1,W01000191
364424,386565,-2.536221,53.374726,7,2,2,1,24-04-14,5,19:39,128,E06000007,3,50,6,30,9,4,6,0,0,0,1,1,1,0,0,1,1,E01012488
527270,198590,-0.160912,51.671624,1,3,2,1,09-10-14,5,7:15,32,E09000010,3,111,6,30,2,4,5,0,0,0,1,1,1,0,0,1,2,E01001417
544721,210609,0.096274,51.775398,42,3,1,1,09-07-14,4,15:20,457,E10000012,3,1019,6,40,0,-1,-1,0,0,4,1,1,1,0,0,2,2,E01021851
592730,172740,0.770589,51.420841,46,3,2,1,08-08-14,6,17:15,540,E10000016,3,250,6,30,3,2,6,0,0,0,1,1,1,0,0,1,1,E01024594
447785,110388,-1.321992,50.890943,44,3,1,1,07-10-14,3,7:51,491,E10000014,6,0,6,30,3,4,6,0,0,0,1,1,2,0,0,2,1,E01022657
637310,167840,1.407397,51.359966,46,3,1,1,09-10-14,5,14:00,541,E10000016,3,256,6,30,1,4,3,256,0,8,1,1,1,0,0,1,1,E01024691
459260,304280,-1.125827,52.633018,33,3,1,1,02-02-14,1,19:40,364,E06000016,3,594,3,30,3,2,6,2830,0,5,4,1,2,0,0,1,1,E01032873
526950,164590,-0.177776,51.366137,1,3,2,1,25-02-14,3,7:22,21,E09000029,5,0,6,30,6,4,5,0,0,0,1,2,2,0,0,1,1,E01004103
414910,283790,-1.782038,52.451836,20,3,2,1,04-11-14,3,8:25,300,E08000025,3,45,3,40,6,2,4,425,0,0,1,1,1,0,0,1,2,E01009315
290276,373712,-3.645971,53.249034,60,3,2,2,10-08-14,1,15:27,721,W06000003,4,5381,6,30,0,-1,-1,0,0,0,1,2,2,0,0,2,1,W01000122
